Name,Quantity
Simple Truth Organic™ Baby Spinach, 1
Chobani 14g Protein Non Fat Plain Greek Yogurt, 1
Jeni's Gooey Butter Cake Ice Cream Pint, 1
Barilla Spaghetti Pasta, 1
Spindrift Sparkling Water & Real Squeezed Lemon 8 Pack, 1
Shirakiku Extra Fancy Rice, 1
Private Selection® Parmesan Wedge Cheese, 1
Private Selection™ Petite Gold Gourmet Potatoes, 1
Spindrift Sparkling Water & Real Squeezed Raspberry Lime 8 Pack, 1
Boars Head Chipotle Chicken, 1
Organic Jar Nutmeg Ground, 1 
Kroger® Traditional Favorites Frozen Brussels Sprouts, 1
Swanson Chicken Stock, 1
Wright Brand Hickory Smoked Thick Cut Bacon, 1
Private Selection™ Petite Gold Gourmet Potatoes, 1
Kroger® Mexican Style Blend Shredded Cheese, 1
Reese's Milk Chocolate Peanut Butter Cups Candy, 1
Simple Truth Organic® Whole Bay Leaves, 1
Horizon Organic Heavy Whipping Cream, 1
Philadelphia 1/3 Less Fat Neufchatel Cheese, 1
Heritage Farm Boneless Skinless Chicken Thighs, 1
Horizon Organic Whole Dha Omega-3 Milk, Half Gallon, 
Sargento® Swiss Sliced Cheese, 1
Kerrygold Pure Irish Butter Sticks, 1
Mission Taco Tortillas, 1
The Rustik Oven Pane Italiano Bread, 1
Dr Pepper Diet Soda 12 oz Cans, 1
Simple Truth Organic® Baby Arugula, 1
Napoleon Tomato Paste - 4.56 Oz, 1
Kerrygold Grass-Fed Unsalted Pure Irish Butter, 1
Simple Truth Organic Cage Free Grade AA Large Brown Eggs, 1
